# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

4031	IMG_0323	2040.440	2471.780
4032	IMG_0323	2536.209	2479.607
5019	IMG_0323	2532.838	779.542
5026	IMG_0323	2522.014	972.164
5078	IMG_0323	2488.015	2259.897
5079	IMG_0323	2697.901	2274.259
6003	IMG_0323	2749.000	886.000
6004	IMG_0323	2873.000	783.000
6005	IMG_0323	3020.033	622.725
6006	IMG_0323	3299.608	335.066
6010	IMG_0323	2751.000	1407.000
6011	IMG_0323	2881.723	1375.945
6012	IMG_0323	3069.557	1288.794
6013	IMG_0323	3728.248	1045.538
6016	IMG_0323	2827.000	1988.000
6018	IMG_0323	3824.644	2268.907
6021	IMG_0323	2779.000	2498.000
6022	IMG_0323	2930.000	2662.000
6023	IMG_0323	3117.941	2884.127
7001	IMG_0323	2658.706	2940.660
7003	IMG_0323	2092.440	2954.336
7005	IMG_0323	1397.056	2945.638
7007	IMG_0323	695.689		2737.109
7008	IMG_0323	439.975		2929.726
7012	IMG_0323	93.000		2733.000
1085	IMG_0324	2632.957	3001.682
1086	IMG_0324	917.096		2953.494
1087	IMG_0324	1429.461	2944.110
1088	IMG_0324	679.179		2942.937
1089	IMG_0324	1657.633	2941.606
1090	IMG_0324	1918.068	2936.964
1091	IMG_0324	2439.562	2913.306
1092	IMG_0324	2703.697	2890.192
1093	IMG_0324	1559.078	2831.046
1094	IMG_0324	917.321		2712.107
1095	IMG_0324	1158.053	2696.692
1096	IMG_0324	1448.353	2692.309
1097	IMG_0324	1917.764	2688.858
1098	IMG_0324	2427.121	2669.061
1099	IMG_0324	2255.810	2652.259
1100	IMG_0324	2188.452	2630.127
1101	IMG_0324	1017.908	2575.771
1102	IMG_0324	718.184		2465.363
1103	IMG_0324	924.197		2445.487
1104	IMG_0324	1448.389	2436.460
1105	IMG_0324	1915.409	2434.638
1106	IMG_0324	1700.678	2429.494
1107	IMG_0324	2440.676	2426.068
1108	IMG_0324	2702.975	2407.159
1109	IMG_0324	2479.965	2298.685
1110	IMG_0324	1559.204	2283.724
1111	IMG_0324	1169.654	2203.645
1112	IMG_0324	927.282		2200.413
1113	IMG_0324	1910.110	2199.407
1114	IMG_0324	1441.793	2170.655
1115	IMG_0324	2435.170	2177.830
1116	IMG_0324	2272.485	2165.479
1117	IMG_0324	2015.241	2077.369
1118	IMG_0324	858.131		2047.596
1119	IMG_0324	719.141		1962.385
1120	IMG_0324	938.388		1960.424
1121	IMG_0324	1455.322	1952.836
1122	IMG_0324	1930.518	1955.328
1123	IMG_0324	1697.276	1946.090
1124	IMG_0324	2452.235	1936.538
1125	IMG_0324	2707.404	1943.520
1126	IMG_0324	1296.657	1733.146
1127	IMG_0324	975.290		1720.487
1128	IMG_0324	1180.492	1722.942
1129	IMG_0324	1465.964	1717.538
1130	IMG_0324	1909.376	1719.631
1131	IMG_0324	2443.039	1694.777
1132	IMG_0324	2283.811	1687.374
1133	IMG_0324	2618.876	1569.548
1134	IMG_0324	1837.354	1540.153
1135	IMG_0324	801.028		1462.126
1136	IMG_0324	976.389		1464.030
